Wavelength (nm),n,k
981.26,1.33881051,0.011947714
982.83,1.33613592,0.012026998
984.39,1.33345283,0.012106856
985.95,1.33076069,0.012187307
987.51,1.32805977,0.012268348
989.07,1.32535001,0.012349986
990.63,1.32263121,0.01243223
992.2,1.31990345,0.012515081
993.76,1.31716652,0.012598552
995.32,1.31442054,0.012682643
996.88,1.31166526,0.012767367
998.44,1.30890062,0.012852728
1000,1.30612675,0.012938729
1200,1,0.02
