Wavelength (nm),n,k
655.17365,1.85421,0.00625
656.754,1.85364,0.0063
658.33435,1.85307,0.00635
659.91455,1.85251,0.00639
660,1.85248,0.0064
661.49475,1.85195,0.00644
663.0749,1.85139,0.00649
664.6549,1.85083,0.00654
666.235,1.85027,0.00659
667.8149,1.84972,0.00664
669.3948,1.84916,0.00668
670,1.84895,0.0067
670.9746,1.84861,0.00673
672.5543,1.84807,0.00678
674.13403,1.84752,0.00683
675.7137,1.84697,0.00688
677.2932,1.84643,0.00693
678.8727,1.84589,0.00698
680,1.8455,0.00702
680.4521,1.84535,0.00703
682.03143,1.84481,0.00708
683.6107,1.84427,0.00713
685.18994,1.84373,0.00718
686.7691,1.8432,0.00724
688.34814,1.84267,0.00729
689.9271,1.84214,0.00734
690,1.84211,0.00734
691.50604,1.84161,0.00739
693.0849,1.84108,0.00744
694.6637,1.84055,0.00749
696.2424,1.84003,0.00755
697.821,1.8395,0.0076
699.39954,1.83898,0.00765
700,1.83878,0.00768
700.97797,1.83846,0.00771
702.5564,1.83794,0.00776
704.1347,1.83742,0.00782
705.71295,1.83691,0.00787
707.29114,1.83639,0.00792
708.8692,1.83588,0.00798
710,1.83551,0.00802
710.44714,1.83536,0.00803
712.0251,1.83485,0.00809
713.6029,1.83434,0.00814
715.18066,1.83383,0.0082
716.75836,1.83332,0.00826
718.33594,1.83282,0.00831
719.91345,1.83231,0.00837
720,1.83228,0.00837
721.49084,1.83181,0.00843
723.0682,1.8313,0.00848
724.6454,1.8308,0.00854
726.22253,1.8303,0.0086
727.7996,1.8298,0.00866
729.3766,1.8293,0.00872
730,1.8291,0.00874
730.9535,1.8288,0.00877
732.53033,1.8283,0.00883
734.10706,1.82781,0.00889
735.68365,1.82731,0.00895
737.26013,1.82681,0.00901
738.83655,1.82632,0.00907
740,1.82596,0.00911
740.41296,1.82583,0.00913
741.9892,1.82534,0.00919
743.5653,1.82485,0.00925
745.1414,1.82436,0.00931
746.7174,1.82387,0.00937
748.2933,1.82338,0.00943
749.869,1.82289,0.00949
750,1.82285,0.0095
751.4447,1.82241,0.00955
753.02026,1.82192,0.00962
754.59576,1.82144,0.00968
756.17114,1.82095,0.00974
757.7464,1.82047,0.0098
759.3216,1.81999,0.00987
760,1.81978,0.00989
760.89667,1.81951,0.00993
762.4716,1.81902,0.01
764.0465,1.81854,0.01006
765.6213,1.81807,0.01012
767.1959,1.81759,0.01019
768.7705,1.81711,0.01025
770,1.81674,0.0103
770.345,1.81663,0.01032
771.9193,1.81616,0.01038
773.4936,1.81568,0.01045
775.06775,1.8152,0.01051
776.6417,1.81473,0.01058
778.2157,1.81426,0.01065
779.7895,1.81378,0.01071
780,1.81372,0.01072
781.36316,1.81331,0.01078
782.9368,1.81284,0.01085
784.5103,1.81237,0.01091
786.0836,1.8119,0.01098
787.6569,1.81142,0.01105
789.2301,1.81095,0.01112
790,1.81073,0.01115
790.8031,1.81049,0.01119
792.37604,1.81002,0.01125
793.94885,1.80955,0.01133
795.52155,1.80908,0.01139
797.0941,1.80861,0.01146
798.66656,1.80815,0.01153
800,1.80775,0.01159
800.2389,1.80768,0.0116
801.81116,1.80722,0.01167
803.38324,1.80675,0.01175
804.9552,1.80628,0.01182
806.5271,1.80582,0.01189
808.0988,1.80536,0.01196
809.6705,1.80489,0.01203
810,1.8048,0.01205
811.242,1.80443,0.0121
812.81335,1.80397,0.01218
814.38464,1.80351,0.01225
815.95575,1.80304,0.01232
817.52673,1.80258,0.0124
819.09766,1.80212,0.01247
820,1.80186,0.01251
820.66846,1.80166,0.01254
822.2391,1.8012,0.01262
823.8096,1.80074,0.01269
825.38,1.80028,0.01277
826.9502,1.79982,0.01284
828.5203,1.79936,0.01292
830,1.79893,0.01299
830.09033,1.79891,0.01299
831.66016,1.79845,0.01307
833.22986,1.79799,0.01315
834.7995,1.79753,0.01322
836.369,1.79708,0.0133
837.93835,1.79662,0.01338
839.5075,1.79616,0.01345
840,1.79602,0.01348
841.07666,1.7957,0.01353
842.6456,1.79525,0.01361
844.21436,1.79479,0.01369
845.783,1.79434,0.01377
847.35156,1.79388,0.01385
848.9199,1.79343,0.01393
850,1.79311,0.01398
850.48816,1.79297,0.01401
852.05634,1.79252,0.01409
853.6243,1.79206,0.01417
855.1922,1.79161,0.01425
856.7599,1.79116,0.01433
858.32745,1.7907,0.01441
859.89484,1.79025,0.01449
860,1.79022,0.01449
861.4621,1.7898,0.01457
863.0293,1.78934,0.01465
864.5963,1.78889,0.01474
866.1631,1.78844,0.01482
867.7298,1.78798,0.0149
869.2964,1.78753,0.01498
870,1.78733,0.01502
870.8628,1.78708,0.01507
872.429,1.78663,0.01515
873.9951,1.78618,0.01524
875.56116,1.78573,0.01532
877.12695,1.78527,0.0154
878.6927,1.78482,0.01549
880,1.78445,0.01556
880.2581,1.78437,0.01558
881.82355,1.78392,0.01566
883.3888,1.78347,0.01575
884.9538,1.78302,0.01583
886.51874,1.78257,0.01592
888.0835,1.78212,0.01601
889.64813,1.78167,0.01609
890,1.78157,0.01611
891.2126,1.78122,0.01618
892.77686,1.78077,0.01627
894.341,1.78032,0.01636
895.90497,1.77987,0.01645
897.4689,1.77942,0.01654
899.03253,1.77897,0.01662
900,1.77869,0.01668
900.59607,1.77852,0.01671
902.15936,1.77807,0.0168
903.72266,1.77762,0.01689
905.28564,1.77717,0.01698
906.8485,1.77672,0.01708
908.41125,1.77627,0.01717
909.9738,1.77582,0.01726
910,1.77581,0.01726
911.53625,1.77537,0.01735
913.09845,1.77492,0.01744
914.6605,1.77447,0.01753
916.2225,1.77402,0.01763
917.7842,1.77357,0.01772
919.3458,1.77312,0.01781
920,1.77293,0.01785
920.9072,1.77267,0.01791
922.46844,1.77222,0.018
924.0295,1.77177,0.0181
925.59045,1.77133,0.01819
927.1512,1.77088,0.01828
928.71173,1.77043,0.01838
930,1.77006,0.01846
930.27216,1.76998,0.01848
931.83234,1.76953,0.01857
933.3924,1.76908,0.01867
934.95233,1.76863,0.01877
936.512,1.76818,0.01886
938.0716,1.76773,0.01896
939.631,1.76728,0.01906
940,1.76718,0.01908
941.1901,1.76683,0.01915
942.74915,1.76638,0.01925
944.308,1.76594,0.01935
945.8667,1.76549,0.01945
947.4252,1.76504,0.01955
948.9835,1.76459,0.01965
950,1.76429,0.01972
950.5416,1.76414,0.01975
952.0995,1.76369,0.01985
953.65735,1.76324,0.01995
955.21497,1.76279,0.02005
956.77234,1.76234,0.02015
958.3296,1.76189,0.02025
959.8866,1.76144,0.02036
960,1.7614,0.02037
961.44354,1.76099,0.02046
963.0002,1.76054,0.02056
964.55676,1.76009,0.02066
966.113,1.75964,0.02077
967.6691,1.75919,0.02087
969.2251,1.75874,0.02098
970,1.75851,0.02103
970.7809,1.75829,0.02108
972.3364,1.75784,0.02119
973.8918,1.75739,0.02129
975.4471,1.75693,0.0214
977.0021,1.75648,0.0215
978.5568,1.75603,0.02161
980,1.75561,0.02171
980.1115,1.75558,0.02172
981.6659,1.75513,0.02182
983.2202,1.75468,0.02193
984.77423,1.75423,0.02204
986.3281,1.75378,0.02214
987.8817,1.75333,0.02225
989.43524,1.75287,0.02236
990,1.75271,0.0224
990.9886,1.75242,0.02247
992.5416,1.75197,0.02258
994.09454,1.75152,0.02269
995.6473,1.75107,0.0228
997.1997,1.75061,0.02291
998.7521,1.75016,0.02302
1000,1.7498,0.02311
1010,1.74688,0.02383
1013.13947,1.74596,0.02406
1016.5212,1.74497,0.02431
1019.90344,1.74398,0.02457
1020,1.74395,0.02457
1023.28613,1.74298,0.02482
1026.6693,1.74199,0.02507
1030,1.74101,0.02533
1030.0531,1.74099,0.02533
1033.4373,1.74,0.02559
1036.822,1.739,0.02585
1040,1.73806,0.0261
1040.2073,1.738,0.02611
1043.5931,1.737,0.02638
1046.9794,1.736,0.02665
1050,1.7351,0.02689
1050.3662,1.73499,0.02692
1053.7534,1.73399,0.02719
1057.1412,1.73298,0.02746
1060,1.73213,0.02769
